CHROM,BIN_START,BIN_END,GIH_VS_GWD_WEIGHTED_FST,GIH_VS_GWD_MEAN_FST,GIH_VS_TSI_WEIGHTED_FST,GIH_VS_TSI_MEAN_FST,GIH_VS_PUR_WEIGHTED_FST,GIH_VS_PUR_MEAN_FST,GIH_VS_JPT_WEIGHTED_FST,GIH_VS_JPT_MEAN_FST,GWD_VS_TSI_WEIGHTED_FST,GWD_VS_TSI_MEAN_FST,GWD_VS_PUR_WEIGHTED_FST,GWD_VS_PUR_MEAN_FST,GWD_VS_JPT_WEIGHTED_FST,GWD_VS_JPT_MEAN_FST,TSI_VS_JPT_WEIGHTED_FST,TSI_VS_JPT_MEAN_FST,TSI_VS_PUR_WEIGHTED_FST,TSI_VS_PUR_MEAN_FST,PUR_VS_JPT_WEIGHTED_FST,PUR_VS_JPT_MEAN_FST
22,16150001,16160000,0.0378801,0.0193526,0.0439702,0.0184926,0.0470589,0.0135836,0.00294239,0.0029014,0.0619414,0.0274114,0.057307,0.0196575,0.0518436,0.026297,0.0726835,0.0268187,-0.000704306,0.00110518,0.0779406,0.0219284
22,16160001,16170000,0.0320505,0.0128979,0.0183258,0.0137459,0.0218473,0.00894851,0.0117453,0.00588277,0.00334328,0.00471431,0.00853242,0.00417908,0.0629544,0.0173963,0.043165,0.0182162,0.00137056,0.00114503,0.0622534,0.0190646
22,16170001,16180000,0.0928309,0.0163207,9.37725e-05,0.00637845,0.000952503,0.00300519,-0.000861051,0.000411811,0.0837801,0.0188024,0.0769352,0.0163884,0.0893638,0.0188478,0.000843951,0.00922481,-0.000368233,0.00264689,-0.00179842,0.00370825
22,16180001,16190000,0.0295049,0.0142451,0.0362673,0.0152652,0.032285,0.0165047,0.0107816,0.00729062,0.0237921,0.00918151,0.0264788,0.0109455,0.0389522,0.0133368,0.0487549,0.0108235,0.000629699,0.0006422,0.0422293,0.0103725
22,16190001,16200000,0.111133,0.0196219,0.0243676,0.0106818,0.0246092,0.0105415,0.0031536,0.00360713,0.112681,0.0127008,0.0740631,0.0117855,0.134056,0.0255914,0.0538966,0.019834,0.00145509,-0.000230665,0.0521332,0.0190796
22,16200001,16210000,0.0840955,0.0186532,0.0090552,0.0072595,0.00480313,0.00344943,0.0188074,0.00811346,0.0917889,0.0145227,0.0604698,0.0112468,0.128212,0.0291215,0.044085,0.0185767,0.000565277,-3.05015e-05,0.0401009,0.0145563
22,16210001,16220000,0.0385207,0.0191432,0.0144596,0.0133099,0.00931297,0.00899715,0.02716,0.0162925,0.0354401,0.0157128,0.0307817,0.0147693,0.0832009,0.0360778,0.0669183,0.0411536,-0.00166898,0.00146971,0.0536873,0.0332361
22,16220001,16230000,0.0450358,0.0164935,0.00994108,0.007383,0.0104004,0.00531087,0.00784006,0.00535444,0.0596319,0.019178,0.023323,0.012421,0.0470542,0.0156514,0.0308288,0.0149848,0.00922676,0.00255025,0.0199731,0.00910292
22,16230001,16240000,0.0284399,0.0119145,0.0126219,0.00595179,0.00818882,0.00442574,0.0294939,0.0135549,0.0458016,0.0136287,0.0281185,0.0095674,0.0777291,0.018691,0.0326295,0.0110658,-1.35444e-05,0.000209257,0.0330734,0.0090582
22,16240001,16250000,0.0896505,0.0267184,-0.000604596,0.00240626,0.00976995,0.00318111,0.0189666,0.0114071,0.0856475,0.0268454,0.0442452,0.0172961,0.142893,0.0452655,0.0416108,0.023123,0.00558019,0.0018671,0.0541124,0.0183718
22,16250001,16260000,0.0798537,0.034713,0.00961563,0.00794894,0.0065121,0.00293069,0.0606537,0.0295771,0.0609589,0.0265192,0.0432331,0.0211821,0.212083,0.0664197,0.101904,0.0417658,-0.000235923,0.00178482,0.105589,0.0361525
22,16260001,16270000,0.0689884,0.0193299,0.0141808,0.0092199,0.014366,0.00666916,0.0821726,0.0587421,0.0291772,0.0083684,0.0279432,0.00921036,0.244138,0.0624431,0.163806,0.0897713,-0.00299892,0.000453326,0.161123,0.0775811
22,16270001,16280000,0.0842677,0.0285618,0.0143925,0.00739373,0.0162296,0.00663111,0.0363148,0.0204172,0.0686414,0.027368,0.053247,0.0214597,0.186303,0.0601783,0.0659325,0.0361055,-0.00141953,-0.000315863,0.068606,0.0304853
22,16280001,16290000,0.0559434,0.0145502,0.0121581,0.00608152,0.0139384,0.00583442,0.0298872,0.00758538,0.0858614,0.0181683,0.0731351,0.0154966,0.130284,0.0287555,0.0325449,0.0113861,0.0092844,0.00418687,0.0508143,0.016541
22,16290001,16300000,0.0450262,0.0187852,0.0230072,0.0101829,0.0134119,0.00514588,0.025416,0.00972183,0.070131,0.0210708,0.0460779,0.0177321,0.107479,0.0274413,0.0354288,0.0140215,0.00038118,0.000734426,0.0377737,0.0126602
22,16300001,16310000,0.0417829,0.0202142,0.0010516,0.00170031,0.0107879,0.00458078,0.0307273,0.010496,0.0492356,0.0226561,0.0295354,0.0137056,0.127028,0.0366374,0.0392189,0.012764,0.00376453,0.0020231,0.0771345,0.0208508
22,16310001,16320000,0.0781092,0.0184728,0.00209282,0.00118704,-0.00232077,7.79842e-05,0.000679195,0.00487363,0.113652,0.021065,0.089146,0.0174029,0.0556416,0.0189181,0.0136397,0.00741428,-0.00164958,0.00100545,0.00374954,0.00223969
22,16320001,16330000,0.00822783,0.00570686,0.00607288,0.00322872,-0.00314838,-0.00135467,-0.00237433,-0.000284573,-0.00200265,0.00337802,0.00782029,0.00677339,0.00430491,0.00515113,0.00250867,0.00261886,0.0056974,0.00385441,-0.00254513,-0.000430238
22,16330001,16340000,0.00382054,0.00152736,-5.96928e-05,-3.87295e-05,-4.88969e-06,-3.02784e-06,0.0233061,0.00664221,0.00330177,0.00146237,0.00416665,0.00189022,0.0164635,0.00530746,0.0214589,0.00597072,0.000869431,0.000586513,0.0229983,0.00713825
22,16340001,16350000,0.0775588,0.0219218,-0.00283127,0.00155371,-0.00055944,0.00246947,0.0541417,0.016953,0.0745552,0.0216174,0.0740877,0.0214477,0.153657,0.0323107,0.053822,0.0156047,-0.00193414,0.000647783,0.0444626,0.0137706
22,16350001,16360000,0.290452,0.0393431,0.00773938,0.00461659,0.00845384,0.00596491,0.0123908,0.00521108,0.350169,0.0469411,0.319156,0.0418322,0.31914,0.0419174,0.0059417,0.00576695,-0.00258672,0.000355428,0.0067415,0.0051508
22,16360001,16370000,0.103345,0.02975,0.0154102,0.00992344,0.017646,0.0111412,0.0128339,0.0120413,0.118946,0.033433,0.108993,0.0301787,0.101993,0.0295047,0.0193634,0.0156957,0.0029282,0.00386107,0.0175801,0.0106392
22,16370001,16380000,0.109567,0.0123417,-0.00414859,-0.000587549,-0.00524226,0.000116592,0.0382306,0.0105412,0.1323,0.017946,0.102145,0.0116024,0.076604,0.0141707,0.0404334,0.0163278,-0.00367485,-0.000809425,0.0309693,0.00918842
22,16380001,16390000,0.0217422,0.00777714,0.00241271,0.0038511,9.81848e-05,0.000707838,0.00375577,0.00437958,0.0201897,0.00473239,0.0124097,0.00450921,0.037003,0.00770207,0.00263756,0.00227812,0.00023142,0.000454402,0.00505822,0.00191774
22,16390001,16400000,0.123376,0.0258181,0.0013034,0.00212275,-0.00289633,-0.000102185,0.033741,0.0207153,0.128894,0.0295177,0.1168,0.0218391,0.145776,0.0294757,0.045951,0.0291859,0.00134945,0.0015599,0.0230105,0.0141736
22,16400001,16410000,0.0954896,0.0274921,0.00535202,0.00215444,0.00421111,0.00341958,0.00636533,0.0068763,0.10289,0.0252059,0.0914678,0.0259671,0.0857548,0.0309665,0.0112004,0.00615327,-0.00219033,-7.30322e-06,0.00798035,0.0059763
22,16410001,16420000,0.151084,0.0392255,0.0130124,0.00718552,0.0106917,0.00686038,0.0139303,0.0118763,0.190249,0.0453775,0.176501,0.038491,0.159466,0.0425666,0.0117061,0.00953734,-0.00131086,0.00225689,0.00481332,0.00305447
22,16420001,16430000,0.0545883,0.0187292,0.017476,0.00646862,0.0146182,0.00555178,0.0158647,0.0105416,0.0949016,0.0217195,0.0880647,0.0176736,0.0901599,0.0245797,0.025116,0.00889215,-0.00129299,0.00122363,0.0219504,0.00717284
22,16430001,16440000,0.151786,0.0465739,0.0419286,0.0224297,0.0272696,0.013754,0.00619283,0.00656355,0.199049,0.0364525,0.151475,0.0284251,0.159045,0.0529285,0.0605881,0.0262706,0.00209861,0.00212691,0.044204,0.0171498
22,16440001,16450000,0.0840253,0.0356652,0.0430494,0.0205686,0.0293611,0.0122775,0.013376,0.00806578,0.0898727,0.0295262,0.0788019,0.0276523,0.105372,0.0455518,0.0764396,0.0388403,-0.0019991,0.000915907,0.0618141,0.0261491
22,16450001,16460000,0.0688782,0.0255694,0.0321057,0.0132737,0.0258215,0.013755,0.0418523,0.0161684,0.0306469,0.0163199,0.0370073,0.021381,0.168124,0.0457401,0.134463,0.0399152,-0.00168292,-0.000175011,0.113881,0.0420135
22,16460001,16470000,0.172981,0.0397885,0.0336304,0.0161896,0.0227263,0.0107195,0.00141898,0.0040038,0.239797,0.050084,0.209344,0.0432125,0.16895,0.0455132,0.0467613,0.0240034,-0.00269644,0.0015858,0.0332515,0.0142094
22,16470001,16480000,0.151734,0.0449072,0.0145587,0.0118172,0.0064517,0.00731526,0.0451058,0.0292657,0.169218,0.0499067,0.142398,0.0409078,0.142377,0.0504646,0.0787082,0.046365,-0.00124126,0.00101179,0.0491838,0.0298872
22,16480001,16490000,0.272846,0.0534308,0.0165554,0.00782778,0.0123377,0.007533,0.0102981,0.0080897,0.246722,0.0451337,0.220852,0.0465579,0.258754,0.0617926,0.0329476,0.0182406,-0.00267108,0.00207223,0.0191682,0.0127362
22,16490001,16500000,0.149688,0.0427672,0.0183611,0.012259,0.00979917,0.00638568,0.0254087,0.0227802,0.160712,0.0362895,0.144914,0.0328556,0.180997,0.0545972,0.0684993,0.0390862,-0.00155283,0.00131399,0.0448433,0.0213314
22,16500001,16510000,0.160256,0.0371915,0.0299114,0.0189123,0.0238121,0.0122631,0.00183969,0.00341875,0.168371,0.0308157,0.155855,0.0283862,0.166976,0.038311,0.0434383,0.0218243,-0.00308362,0.000772851,0.0365485,0.0162358
22,16510001,16520000,0.147809,0.0493956,0.0279105,0.0173357,0.0185263,0.0152967,0.0200357,0.0199162,0.185951,0.0363056,0.15639,0.0362399,0.185651,0.0618561,0.0717988,0.0400757,-0.00112099,0.00126848,0.0520904,0.0292729
22,16520001,16530000,0.153179,0.0438552,0.0333239,0.0167924,0.0190876,0.0121925,0.027996,0.0206581,0.20069,0.0412625,0.170306,0.0370039,0.182869,0.0555193,0.100967,0.0471018,0.0011024,0.00276487,0.0692909,0.0337453
22,16530001,16540000,0.147757,0.0364447,0.0285183,0.0107076,0.0186362,0.00617432,0.0111334,0.00842098,0.180279,0.0372834,0.157665,0.0308522,0.182921,0.0464459,0.050627,0.022219,-0.00290655,-0.000438013,0.0366167,0.0117705
22,16540001,16550000,0.153911,0.0434316,0.0292857,0.0159039,0.0218971,0.0118687,0.0114786,0.00789009,0.184039,0.0429775,0.165649,0.0406463,0.195524,0.0518105,0.0441222,0.0222784,-0.00271705,0.00128611,0.0331473,0.0161673
22,16550001,16560000,0.177402,0.0420381,0.0215994,0.0105235,0.0139743,0.00771738,0.00736266,0.00819376,0.19796,0.0341141,0.177,0.0322021,0.221043,0.0500269,0.0448197,0.0170262,-0.00280346,-0.000257197,0.0342047,0.0127315
22,16560001,16570000,0.17833,0.0463376,0.0280086,0.0178732,0.0195074,0.013912,0.00664466,0.00910225,0.22963,0.047589,0.205701,0.0452,0.204108,0.0546406,0.0276399,0.0226322,-0.00254548,0.000615976,0.0218951,0.018212
22,16570001,16580000,0.173065,0.0461403,0.0176547,0.0147149,0.0110841,0.00970898,0.011447,0.0134439,0.222493,0.0449619,0.18651,0.0372966,0.204947,0.0458901,0.0329663,0.0212703,-0.000201958,0.000887955,0.0214321,0.0129191
22,16580001,16590000,0.103671,0.0323253,0.0352814,0.0177952,0.0210428,0.00892077,0.00820973,0.00567351,0.140271,0.0307506,0.106582,0.0236668,0.120704,0.039617,0.0594327,0.0280408,-0.000861916,0.00116938,0.0394701,0.0149907
22,16590001,16600000,0.121994,0.0369016,0.0453502,0.0241367,0.0309398,0.0157365,0.0116003,0.0104886,0.187219,0.0370182,0.154413,0.0347148,0.1568,0.0418218,0.0629262,0.0313019,-3.52561e-05,0.0014257,0.0453935,0.0211387
22,16600001,16610000,0.14048,0.0400296,0.0295777,0.0158523,0.0142527,0.00763053,0.0118526,0.00921366,0.214436,0.0622776,0.168711,0.0462099,0.169537,0.051369,0.028948,0.0189698,0.000822505,0.00143942,0.0131122,0.00945529
22,16610001,16620000,0.0979862,0.032277,0.0483587,0.0201234,0.0337626,0.0129381,0.0128657,0.0106462,0.0813491,0.0212715,0.064203,0.0208308,0.107691,0.0386775,0.0844646,0.0327447,-0.000712369,0.000399609,0.0583317,0.0204424
22,16620001,16630000,0.125391,0.0373219,0.0284671,0.0125482,0.0148552,0.00737665,0.0105619,0.00914827,0.170468,0.038563,0.133016,0.0344063,0.147554,0.0468846,0.0314185,0.0208265,-0.000831006,0.00111146,0.0192625,0.0124302
22,16630001,16640000,0.118409,0.0359504,0.0244022,0.00930329,0.0096078,0.00606427,0.0242148,0.0164188,0.173791,0.0433789,0.139604,0.0405339,0.196357,0.064445,0.0634755,0.0295653,-4.99749e-05,0.00214692,0.0445414,0.0231362
22,16640001,16650000,0.14453,0.0453524,0.0231144,0.0109433,0.0117077,0.00710389,0.0162466,0.0137858,0.19645,0.0467355,0.164104,0.0454326,0.185432,0.0636298,0.0549164,0.0313545,-0.00122848,0.000797979,0.0358601,0.0182146
22,16650001,16660000,0.144963,0.0349872,0.0263926,0.00939582,0.0177643,0.0067787,0.0108671,0.00619864,0.179953,0.0378136,0.145422,0.0326153,0.152552,0.0413174,0.0372751,0.0163177,0.00172412,0.00174912,0.0233631,0.00992981
22,16660001,16670000,0.20036,0.0512873,0.0289146,0.0194534,0.0142278,0.0104143,0.00820228,0.00784858,0.26908,0.0652773,0.198853,0.0515062,0.216326,0.0511921,0.0170636,0.0144121,0.00411534,0.0027506,0.0107303,0.00846186
22,16670001,16680000,0.069358,0.0249004,0.0450952,0.013392,0.0409171,0.0104603,0.0210705,0.0139198,0.083143,0.0251033,0.0711866,0.0215777,0.0825248,0.0309095,0.0602809,0.0197523,-0.00238111,0.00064573,0.05699,0.0156391
22,16680001,16690000,0.134102,0.0444873,0.0239349,0.0105418,0.0140646,0.0073475,0.0415372,0.0199058,0.121571,0.0400376,0.0974323,0.0328511,0.19649,0.0576778,0.105535,0.0299103,-0.000182121,0.00185791,0.0870123,0.0235495
22,16690001,16700000,0.0883028,0.0430089,0.00951749,0.0097123,0.00610456,0.00626673,0.0458691,0.0374961,0.066262,0.0282844,0.0591026,0.0272304,0.172221,0.0754746,0.0913509,0.0578953,-0.00354991,-0.000710448,0.078831,0.0423494
22,16840001,16850000,0.0710201,0.0409,0.0220427,0.0153933,0.0375239,0.0153226,0.00774375,0.0117332,0.0821595,0.0384104,0.107064,0.0442257,0.0529571,0.0334698,0.0142765,0.0171919,0.00449589,0.00255275,0.0210614,0.0132563
22,16850001,16860000,0.0470813,0.0346288,0.0188629,0.0121866,0.0398962,0.0185111,0.0103619,0.0142058,0.0712437,0.0425332,0.0951573,0.0477824,0.0360558,0.0282603,0.0156377,0.0188997,0.00467958,0.00407338,0.0254719,0.0178713
22,16860001,16870000,0.0794002,0.0439203,0.0215847,0.015222,0.03057,0.0137658,0.00926273,0.0110953,0.0863173,0.0438917,0.108104,0.0481209,0.0669908,0.0395795,0.0148134,0.0172398,0.00363135,0.00273282,0.0192031,0.0132376
22,16870001,16880000,0.154969,0.0758495,0.050372,0.0327659,0.0344981,0.0176546,0.0447055,0.0271985,0.114162,0.0518312,0.13356,0.0585637,0.201823,0.0815985,0.0362381,0.0216623,0.00030358,0.00331037,0.0235473,0.0103902
22,16880001,16890000,0.157916,0.0651413,0.0792046,0.0423873,0.0588351,0.0258163,0.0524799,0.02899,0.112719,0.0361703,0.125751,0.0425018,0.182246,0.0584811,0.038615,0.019022,0.000756771,0.00325385,0.0285901,0.0103865
22,16890001,16900000,0.182811,0.0716774,0.0711292,0.0391521,0.0519656,0.0221188,0.044499,0.0249365,0.119348,0.0401887,0.130666,0.0451179,0.215309,0.0705311,0.0416916,0.0219279,-0.000174834,0.00218257,0.031501,0.0115796
22,16900001,16910000,0.104803,0.0428015,0.0537097,0.0249955,0.0380115,0.0141431,0.0183458,0.0122311,0.125771,0.041762,0.120648,0.0377797,0.103556,0.0434071,0.0585938,0.0306988,0.00179107,0.00362039,0.0398503,0.0154488
22,16910001,16920000,0.0858376,0.0413961,0.0622489,0.0453088,0.0640521,0.0390278,0.015634,0.0126123,0.144856,0.0468742,0.133838,0.0456337,0.0601935,0.0316184,0.0525892,0.0364773,0.00060586,0.00275087,0.0483813,0.0291051
22,16920001,16930000,0.055611,0.0318697,0.0586353,0.0418828,0.0639099,0.0401168,0.00899895,0.00801804,0.0271234,0.0146637,0.0255561,0.0145581,0.0333371,0.026199,0.0367985,0.0318308,-0.000844854,0.00168677,0.037761,0.0298876
22,16930001,16940000,0.0557252,0.032786,0.0583088,0.0388453,0.0657318,0.0421485,0.0273787,0.0170255,0.0402238,0.0175624,0.0366006,0.0174527,0.0354137,0.0261431,0.0536085,0.0367078,-0.0016954,0.00029155,0.0492953,0.034314
22,16940001,16950000,0.0448391,0.02253,0.043222,0.0332089,0.0486911,0.0281751,0.0146128,0.0104158,0.0232982,0.00996094,0.0211478,0.00921471,0.0244552,0.0188327,0.0433812,0.0336421,-0.00185934,0.00224343,0.0416562,0.0252913
22,16950001,16960000,0.0588388,0.0371873,0.04526,0.0442272,0.0489268,0.0400548,0.0141705,0.0116559,0.0234749,0.0118804,0.0172634,0.0103611,0.0582022,0.0342703,0.0416258,0.0377656,-0.00183763,0.00144502,0.0442557,0.0338887
22,16960001,16970000,0.0949286,0.0651381,0.0687772,0.0595482,0.0675167,0.0597318,0.0331005,0.0232242,0.0946906,0.0348857,0.0696552,0.0288965,0.0666944,0.0529019,0.0847327,0.0644511,-0.000111973,0.0026072,0.071713,0.0584467
22,16970001,16980000,0.101827,0.0631496,0.0512554,0.0470544,0.0461322,0.0470927,0.00156035,0.00521574,0.0248112,0.0275751,0.0282791,0.030238,0.123197,0.0670008,0.0617087,0.0479112,-0.003858,-0.00336285,0.0562613,0.047421
22,16980001,16990000,0.0570748,0.0257443,0.013889,0.012311,-0.000655567,0.00300802,0.0445333,0.0335916,0.0731082,0.032296,0.0702611,0.0300006,0.128434,0.0642788,0.00664337,0.0101677,0.00343082,0.00910479,0.0221742,0.0237871
22,16990001,17000000,-0.000412585,-0.000412585,0.0459064,0.0293394,0.0508596,0.0277876,0.0224549,0.0152828,-0.000242668,-0.000242668,-0.000369443,-0.000369443,-0.000369443,-0.000369443,0.0394198,0.0294852,-0.00186433,0.00151524,0.0341238,0.0245671
22,17000001,17010000,0.0268684,0.0224106,0.0381096,0.0240598,0.0438548,0.0236796,0.0184686,0.0116098,0.0426064,0.0206922,0.0431834,0.0180439,0.0247234,0.0210063,0.0229057,0.0248482,-0.0024165,0.00118442,0.0214836,0.0211742
22,17010001,17020000,0.0370425,0.0211106,0.0328641,0.0231629,0.0335962,0.0213193,0.0167399,0.0107625,0.0445473,0.0200168,0.0465658,0.0191764,0.0325621,0.0206729,0.0376071,0.0284421,-0.00210668,0.00076045,0.0331261,0.0242864
22,17020001,17030000,0.0798997,0.0406888,0.0130002,0.00951151,0.0158729,0.00965514,0.0138572,0.0088152,0.0742455,0.0331315,0.0692439,0.0291587,0.0817895,0.0409007,0.0488145,0.0297644,-0.00239597,0.000638059,0.0538579,0.0272523
22,17030001,17040000,0.0526564,0.0387999,0.02263,0.0135301,0.0320014,0.0189335,0.00698364,0.00649901,0.0500044,0.0358794,0.0462282,0.032369,0.0780618,0.0553885,0.039186,0.0219045,-0.000504724,0.00478076,0.0478115,0.0252459
22,17040001,17050000,0.144751,0.0612303,0.0299761,0.0167918,0.0438819,0.0221733,0.0085314,0.00789993,0.105427,0.0502178,0.0796752,0.0373012,0.146994,0.0668805,0.0331974,0.0226027,-0.00135752,0.00151594,0.0418544,0.0261118
22,17050001,17060000,0.110507,0.0509986,0.0471388,0.0252022,0.0523779,0.0273252,0.0203612,0.0124316,0.104089,0.0432233,0.101846,0.0402073,0.0946428,0.0483418,0.0789424,0.0368272,0.00225928,0.00428006,0.0720582,0.0343685
22,17060001,17070000,0.135189,0.0607958,0.168498,0.0554599,0.107743,0.0450611,0.058223,0.0309386,0.11674,0.0441301,0.103793,0.0378459,0.153771,0.065313,0.2803,0.0929718,0.0184403,0.0100324,0.187268,0.077962
22,17070001,17080000,0.100063,0.0431748,0.0999429,0.0355733,0.0569134,0.0240969,0.0404212,0.0195006,0.184319,0.0437957,0.116314,0.0338047,0.120606,0.0501331,0.20191,0.0724597,0.0109737,0.00723764,0.127001,0.0483681
22,17080001,17090000,0.0512856,0.0246119,0.0201195,0.0104867,0.0453427,0.0168066,0.0279388,0.0160611,0.0598102,0.0224249,0.0349929,0.0185836,0.110851,0.0398437,0.0623539,0.0292443,0.0184818,0.00714797,0.0864946,0.030391
22,17090001,17100000,0.0810117,0.0283037,0.00866731,0.00773073,0.0419757,0.0167518,0.0240703,0.016884,0.0796498,0.0287532,0.0545011,0.0225115,0.086601,0.0321051,0.0372601,0.0267668,0.029163,0.0118478,0.0499443,0.0257079
22,17100001,17110000,0.122148,0.0424856,0.0186241,0.0164122,0.0507331,0.0303793,0.0262189,0.0202093,0.121378,0.0446935,0.0517204,0.0258899,0.0931448,0.0425992,0.0537294,0.0327478,0.0246115,0.0114894,0.0751347,0.0394083
22,17110001,17120000,0.12281,0.0425072,0.00971197,0.0108503,0.0471579,0.0200457,0.0236068,0.0163913,0.119316,0.0371162,0.0732483,0.0264022,0.103162,0.0359409,0.0310783,0.0211182,0.0278408,0.00881978,0.0469471,0.0210543
22,17120001,17130000,0.1321,0.0431227,0.0191294,0.0110767,0.0556023,0.0224143,0.0338295,0.0185411,0.128908,0.0406207,0.0656917,0.0249535,0.0874637,0.0340775,0.044914,0.0247397,0.0193816,0.00729078,0.069861,0.0281893
22,17130001,17140000,0.123603,0.044229,0.0109098,0.00800257,0.0548346,0.0211648,0.023609,0.0147015,0.108381,0.0370139,0.0779039,0.0260867,0.0899283,0.0373925,0.038252,0.0208128,0.032464,0.0103327,0.0650845,0.0271176
22,17140001,17150000,0.156741,0.0518302,0.0164515,0.0123273,0.0510747,0.0183761,0.0297956,0.0186702,0.156627,0.046447,0.0903542,0.0313255,0.136038,0.0517246,0.0411876,0.0276225,0.0225511,0.00720597,0.0460718,0.0224153
22,17150001,17160000,0.12533,0.0346017,0.057622,0.0389539,0.0276919,0.0230452,0.00354108,0.00306622,0.115754,0.0337451,0.06183,0.0215654,0.0847779,0.0306357,0.0328293,0.0275661,0.00659649,0.00328048,0.00875071,0.01174
22,17160001,17170000,0.064895,0.0348027,0.03955,0.0225532,0.0394724,0.022611,0.0356539,0.0248944,0.177409,0.0693464,0.136759,0.0604657,0.0943947,0.0491764,0.0860656,0.0472509,0.00467849,0.00493213,0.0765358,0.0386832
22,17170001,17180000,0.134426,0.0564523,0.0917201,0.0462813,0.0789631,0.030666,0.0551179,0.0437346,0.148474,0.0640969,0.129143,0.0552071,0.144383,0.0543064,0.0351762,0.0232943,-0.00399558,0.00023859,0.038921,0.0216028
22,17180001,17190000,0.17018,0.0613041,0.0528393,0.014916,0.0478241,0.0134711,0.0408973,0.0220672,0.0593959,0.0377522,0.0581698,0.0352819,0.108628,0.0595728,0.0965676,0.0387013,-0.00254233,0.000803613,0.098198,0.0393134
22,17190001,17200000,0.0641983,0.0255965,0.0323467,0.0108776,0.0277808,0.00813258,0.0225498,0.0127554,0.0646941,0.0261706,0.059379,0.02488,0.10945,0.0447927,0.0353223,0.0158939,0.00263014,0.00213379,0.0320519,0.00955149
22,17200001,17210000,0.0841941,0.019716,0.0202282,0.0077789,0.0278834,0.0112905,0.0412939,0.0241143,0.0998957,0.0232704,0.064646,0.0166461,0.0911792,0.02303,0.0415728,0.0245659,0.00644794,0.00546655,0.053183,0.0215164
